edge_id,from_stop_id,to_stop_id,distance_km,time_min,transport_type,route_id,co2_g
1,M1_MARTYRS,M1_BOUMEN,2.317,3.0,metro,METRO_L1,27.8
2,M1_BOUMEN,M1_MARTYRS,2.317,3.0,metro,METRO_L1,27.8
3,M1_BOUMEN,M1_TAFOURAH,0.9078,3.0,metro,METRO_L1,10.89
4,M1_TAFOURAH,M1_BOUMEN,0.9078,3.0,metro,METRO_L1,10.89
5,M1_TAFOURAH,M1_KHEL,0.9911,3.0,metro,METRO_L1,11.89
6,M1_KHEL,M1_TAFOURAH,0.9911,3.0,metro,METRO_L1,11.89
7,M1_KHEL,M1_1MAI,0.7625,3.0,metro,METRO_L1,9.15
8,M1_1MAI,M1_KHEL,0.7625,3.0,metro,METRO_L1,9.15
9,M1_1MAI,M1_AISSAT,0.5853,3.0,metro,METRO_L1,7.02
10,M1_AISSAT,M1_1MAI,0.5853,3.0,metro,METRO_L1,7.02
11,M1_AISSAT,M1_HAMMA,0.6523,3.0,metro,METRO_L1,7.83
12,M1_HAMMA,M1_AISSAT,0.6523,3.0,metro,METRO_L1,7.83
13,M1_HAMMA,M1_JARDIN,0.8915,3.0,metro,METRO_L1,10.7
14,M1_JARDIN,M1_HAMMA,0.8915,3.0,metro,METRO_L1,10.7
15,M1_JARDIN,M1_FUSILLES,1.0331,3.0,metro,METRO_L1,12.4
16,M1_FUSILLES,M1_JARDIN,1.0331,3.0,metro,METRO_L1,12.4
17,M1_FUSILLES,M1_AMIROU,1.1568,4.4,metro,METRO_L1,13.88
18,M1_AMIROU,M1_FUSILLES,1.1568,4.4,metro,METRO_L1,13.88
19,M1_AMIROU,M1_MER_SOL,0.7355,3.0,metro,METRO_L1,8.83
20,M1_MER_SOL,M1_AMIROU,0.7355,3.0,metro,METRO_L1,8.83
21,M1_MER_SOL,M1_HAI_BADR,0.9077,4.0,metro,METRO_L1,10.89
22,M1_HAI_BADR,M1_MER_SOL,0.9077,4.0,metro,METRO_L1,10.89
23,M1_HAI_BADR,M1_TENNIS,1.1506,5.0,metro,METRO_L1,13.81
24,M1_TENNIS,M1_HAI_BADR,1.1506,5.0,metro,METRO_L1,13.81
