from_stop_id,to_stop_id,distance_km,time_min,co2_g,transport_type
M1_MARTYRS,M1_BOUMEN,2.317,3.0,27.8,metro
M1_BOUMEN,M1_MARTYRS,2.317,3.0,27.8,metro
M1_BOUMEN,M1_TAFOURAH,0.9078,3.0,10.89,metro
M1_TAFOURAH,M1_BOUMEN,0.9078,3.0,10.89,metro
M1_TAFOURAH,M1_KHEL,0.9911,3.0,11.89,metro
M1_KHEL,M1_TAFOURAH,0.9911,3.0,11.89,metro
M1_KHEL,M1_1MAI,0.7625,3.0,9.15,metro
M1_1MAI,M1_KHEL,0.7625,3.0,9.15,metro
M1_1MAI,M1_AISSAT,0.5853,3.0,7.02,metro
M1_AISSAT,M1_1MAI,0.5853,3.0,7.02,metro
M1_AISSAT,M1_HAMMA,0.6523,3.0,7.83,metro
M1_HAMMA,M1_AISSAT,0.6523,3.0,7.83,metro
M1_HAMMA,M1_JARDIN,0.8915,3.0,10.7,metro
M1_JARDIN,M1_HAMMA,0.8915,3.0,10.7,metro
M1_JARDIN,M1_FUSILLES,1.0331,3.0,12.4,metro
M1_FUSILLES,M1_JARDIN,1.0331,3.0,12.4,metro
M1_FUSILLES,M1_AMIROU,1.1568,4.4,13.88,metro
M1_AMIROU,M1_FUSILLES,1.1568,4.4,13.88,metro
M1_AMIROU,M1_MER_SOL,0.7355,3.0,8.83,metro
M1_MER_SOL,M1_AMIROU,0.7355,3.0,8.83,metro
M1_MER_SOL,M1_HAI_BADR,0.9077,4.0,10.89,metro
M1_HAI_BADR,M1_MER_SOL,0.9077,4.0,10.89,metro
M1_HAI_BADR,M1_TENNIS,1.1506,5.0,13.81,metro
M1_TENNIS,M1_HAI_BADR,1.1506,5.0,13.81,metro
M1_TENNIS,M1_BACHJA,0.7449,3.0,8.94,metro
M1_BACHJA,M1_TENNIS,0.7449,3.0,8.94,metro
M1_BACHJA,M1_H_GARE,1.2006,4.0,14.41,metro
M1_H_GARE,M1_BACHJA,1.2006,4.0,14.41,metro
M1_H_GARE,M1_H_CENTRE,0.5493,3.0,6.59,metro
M1_H_CENTRE,M1_H_GARE,0.5493,3.0,6.59,metro
M1_H_CENTRE,M1_ATELIER,1.1861,3.0,14.23,metro
M1_ATELIER,M1_H_CENTRE,1.1861,3.0,14.23,metro
M1_ATELIER,M1_GUE_CON,1.0131,3.0,12.16,metro
M1_GUE_CON,M1_ATELIER,1.0131,3.0,12.16,metro
M1_GUE_CON,M1_AIN_NADJ,0.8477,4.0,10.17,metro
M1_AIN_NADJ,M1_GUE_CON,0.8477,4.0,10.17,metro
TR01,TR02,0.1692,0.51,2.54,tram
TR02,TR03,0.6855,2.06,10.28,tram
TR03,TR04,0.5114,1.53,7.67,tram
TR04,TR05,0.6548,1.96,9.82,tram
TR05,TR06,0.9423,2.83,14.13,tram
TR06,TR07,0.4319,1.3,6.48,tram
TR07,TR08,0.6447,1.93,9.67,tram
TR08,TR09,0.5732,1.72,8.6,tram
TR09,TR10,0.5332,1.6,8.0,tram
TR10,TR11,0.6795,2.04,10.19,tram
TR11,TR12,0.7125,2.14,10.69,tram
TR12,TR13,1.0944,3.28,16.42,tram
TR13,TR14,0.5163,1.55,7.74,tram
TR14,TR15,0.5543,1.66,8.31,tram
TR15,TR16,0.3929,1.18,5.89,tram
TR16,TR17,0.6353,1.91,9.53,tram
TR17,TR18,0.4367,1.31,6.55,tram
TR18,TR19,0.3094,0.93,4.64,tram
TR19,TR20,0.3549,1.06,5.32,tram
TR20,TR21,0.8798,2.64,13.2,tram
TR21,TR22,0.5596,1.68,8.39,tram
TR22,TR23,0.8843,2.65,13.26,tram
TR23,TR24,0.3823,1.15,5.73,tram
TR24,TR25,0.57,1.71,8.55,tram
TR25,TR26,1.3435,4.03,20.15,tram
TR26,TR27,1.1732,3.52,17.6,tram
TR27,TR28,0.3629,1.09,5.44,tram
TR28,TR29,0.4675,1.4,7.01,tram
TR29,TR30,0.5755,1.73,8.63,tram
TR30,TR31,1.0879,3.26,16.32,tram
TR31,TR32,1.0167,3.05,15.25,tram
TR32,TR33,0.6561,1.97,9.84,tram
TR33,TR34,0.7815,2.34,11.72,tram
TR34,TR35,0.6479,1.94,9.72,tram
TR35,TR34,0.6479,1.94,9.72,tram
TR34,TR33,0.7815,2.34,11.72,tram
TR33,TR32,0.6561,1.97,9.84,tram
TR32,TR31,1.0167,3.05,15.25,tram
TR31,TR30,1.0879,3.26,16.32,tram
TR30,TR29,0.5755,1.73,8.63,tram
TR29,TR28,0.4675,1.4,7.01,tram
TR28,TR27,0.3629,1.09,5.44,tram
TR27,TR26,1.1732,3.52,17.6,tram
TR26,TR25,1.3435,4.03,20.15,tram
TR25,TR24,0.57,1.71,8.55,tram
TR24,TR23,0.3823,1.15,5.73,tram
TR23,TR22,0.8843,2.65,13.26,tram
TR22,TR21,0.5596,1.68,8.39,tram
TR21,TR20,0.8798,2.64,13.2,tram
TR20,TR19,0.3549,1.06,5.32,tram
TR19,TR18,0.3094,0.93,4.64,tram
TR18,TR17,0.4367,1.31,6.55,tram
TR17,TR16,0.6353,1.91,9.53,tram
TR16,TR15,0.3929,1.18,5.89,tram
TR15,TR14,0.5543,1.66,8.31,tram
TR14,TR13,0.5163,1.55,7.74,tram
TR13,TR12,1.0944,3.28,16.42,tram
TR12,TR11,0.7125,2.14,10.69,tram
TR11,TR10,0.6795,2.04,10.19,tram
TR10,TR09,0.5332,1.6,8.0,tram
