transfer_id,from_stop_id,to_stop_id,distance_km,walk_time_min,transfer_penalty_min,total_time_min,from_type,to_type
W_E00001,TRN_AGHA,TRN_AGHA,0.0,0.0,3,3.0,Train,Train
W_E00002,TRN_AGHA,TRN_AGHA,0.0,0.0,3,3.0,Train,Train
W_E00003,TRn_HARRACH,TRn_HARRACH,0.0,0.0,3,3.0,Train,Train
W_E00004,TRn_HARRACH,TRn_HARRACH,0.0,0.0,3,3.0,Train,Train
W_E00005,TRN_BAB_EZZOUAR,TRN_BAB_EZZOUAR,0.0,0.0,3,3.0,Train,Train
W_E00006,TRN_BAB_EZZOUAR,TRN_BAB_EZZOUAR,0.0,0.0,3,3.0,Train,Train
W_E00007,M1_MARTYRS,56,0.9288,11.15,3,14.15,Metro,Bus
W_E00008,56,M1_MARTYRS,0.9288,11.15,3,14.15,Bus,Metro
W_E00009,M1_MARTYRS,61,0.831,9.97,3,12.97,Metro,Bus
W_E00010,61,M1_MARTYRS,0.831,9.97,3,12.97,Bus,Metro
W_E00011,M1_MARTYRS,62,0.5227,6.27,3,9.27,Metro,Bus
W_E00012,62,M1_MARTYRS,0.5227,6.27,3,9.27,Bus,Metro
W_E00013,M1_MARTYRS,63,0.8389,10.07,3,13.07,Metro,Bus
W_E00014,63,M1_MARTYRS,0.8389,10.07,3,13.07,Bus,Metro
W_E00015,M1_MARTYRS,64,0.5243,6.29,3,9.29,Metro,Bus
W_E00016,64,M1_MARTYRS,0.5243,6.29,3,9.29,Bus,Metro
W_E00017,M1_MARTYRS,76,0.4698,5.64,3,8.64,Metro,Bus
W_E00018,76,M1_MARTYRS,0.4698,5.64,3,8.64,Bus,Metro
W_E00019,M1_MARTYRS,77,0.5586,6.7,3,9.7,Metro,Bus
W_E00020,77,M1_MARTYRS,0.5586,6.7,3,9.7,Bus,Metro
W_E00021,M1_MARTYRS,571,0.6452,7.74,3,10.74,Metro,Bus
W_E00022,571,M1_MARTYRS,0.6452,7.74,3,10.74,Bus,Metro
W_E00023,M1_MARTYRS,572,0.9681,11.62,3,14.62,Metro,Bus
W_E00024,572,M1_MARTYRS,0.9681,11.62,3,14.62,Bus,Metro
W_E00025,M1_MARTYRS,981,0.6117,7.34,3,10.34,Metro,Bus
W_E00026,981,M1_MARTYRS,0.6117,7.34,3,10.34,Bus,Metro
W_E00027,M1_MARTYRS,982,0.726,8.71,3,11.71,Metro,Bus
W_E00028,982,M1_MARTYRS,0.726,8.71,3,11.71,Bus,Metro
W_E00029,M1_MARTYRS,983,0.868,10.42,3,13.42,Metro,Bus
W_E00030,983,M1_MARTYRS,0.868,10.42,3,13.42,Bus,Metro
W_E00031,M1_MARTYRS,988,0.7788,9.35,3,12.35,Metro,Bus
W_E00032,988,M1_MARTYRS,0.7788,9.35,3,12.35,Bus,Metro
W_E00033,M1_MARTYRS,989,0.9384,11.26,3,14.26,Metro,Bus
W_E00034,989,M1_MARTYRS,0.9384,11.26,3,14.26,Bus,Metro
W_E00035,M1_MARTYRS,990,0.9259,11.11,3,14.11,Metro,Bus
W_E00036,990,M1_MARTYRS,0.9259,11.11,3,14.11,Bus,Metro
W_E00037,M1_MARTYRS,991,0.5306,6.37,3,9.37,Metro,Bus
W_E00038,991,M1_MARTYRS,0.5306,6.37,3,9.37,Bus,Metro
W_E00039,M1_MARTYRS,992,0.531,6.37,3,9.37,Metro,Bus
W_E00040,992,M1_MARTYRS,0.531,6.37,3,9.37,Bus,Metro
W_E00041,M1_MARTYRS,993,0.9435,11.32,3,14.32,Metro,Bus
W_E00042,993,M1_MARTYRS,0.9435,11.32,3,14.32,Bus,Metro
W_E00043,M1_MARTYRS,994,0.9763,11.72,3,14.72,Metro,Bus
W_E00044,994,M1_MARTYRS,0.9763,11.72,3,14.72,Bus,Metro
W_E00045,M1_MARTYRS,995,0.0602,0.72,3,3.72,Metro,Bus
W_E00046,995,M1_MARTYRS,0.0602,0.72,3,3.72,Bus,Metro
W_E00047,M1_MARTYRS,996,0.0409,0.49,3,3.49,Metro,Bus
W_E00048,996,M1_MARTYRS,0.0409,0.49,3,3.49,Bus,Metro
W_E00049,M1_MARTYRS,997,0.0797,0.96,3,3.96,Metro,Bus
W_E00050,997,M1_MARTYRS,0.0797,0.96,3,3.96,Bus,Metro
W_E00051,M1_MARTYRS,998,0.0925,1.11,3,4.11,Metro,Bus
W_E00052,998,M1_MARTYRS,0.0925,1.11,3,4.11,Bus,Metro
W_E00053,M1_MARTYRS,999,0.0069,0.08,3,3.08,Metro,Bus
W_E00054,999,M1_MARTYRS,0.0069,0.08,3,3.08,Bus,Metro
W_E00055,M1_MARTYRS,1000,0.9127,10.95,3,13.95,Metro,Bus
W_E00056,1000,M1_MARTYRS,0.9127,10.95,3,13.95,Bus,Metro
W_E00057,M1_MARTYRS,TRN_AGHA,0.8378,10.05,3,13.05,Metro,Train
W_E00058,TRN_AGHA,M1_MARTYRS,0.8378,10.05,3,13.05,Train,Metro
W_E00059,M1_MARTYRS,TRN_ATELIERS,0.8616,10.34,3,13.34,Metro,Train
W_E00060,TRN_ATELIERS,M1_MARTYRS,0.8616,10.34,3,13.34,Train,Metro
W_E00061,M1_BOUMEN,39,0.8653,10.38,3,13.38,Metro,Bus
W_E00062,39,M1_BOUMEN,0.8653,10.38,3,13.38,Bus,Metro
W_E00063,M1_BOUMEN,40,0.8511,10.21,3,13.21,Metro,Bus
W_E00064,40,M1_BOUMEN,0.8511,10.21,3,13.21,Bus,Metro
W_E00065,M1_BOUMEN,46,0.3108,3.73,3,6.73,Metro,Bus
W_E00066,46,M1_BOUMEN,0.3108,3.73,3,6.73,Bus,Metro
W_E00067,M1_BOUMEN,47,0.3182,3.82,3,6.82,Metro,Bus
W_E00068,47,M1_BOUMEN,0.3182,3.82,3,6.82,Bus,Metro
W_E00069,M1_BOUMEN,52,0.967,11.6,3,14.6,Metro,Bus
W_E00070,52,M1_BOUMEN,0.967,11.6,3,14.6,Bus,Metro
W_E00071,M1_BOUMEN,53,0.8437,10.12,3,13.12,Metro,Bus
W_E00072,53,M1_BOUMEN,0.8437,10.12,3,13.12,Bus,Metro
W_E00073,M1_BOUMEN,70,0.8055,9.67,3,12.67,Metro,Bus
W_E00074,70,M1_BOUMEN,0.8055,9.67,3,12.67,Bus,Metro
W_E00075,M1_BOUMEN,71,0.7359,8.83,3,11.83,Metro,Bus
W_E00076,71,M1_BOUMEN,0.7359,8.83,3,11.83,Bus,Metro
W_E00077,M1_BOUMEN,72,0.229,2.75,3,5.75,Metro,Bus
W_E00078,72,M1_BOUMEN,0.229,2.75,3,5.75,Bus,Metro
W_E00079,M1_BOUMEN,73,0.2267,2.72,3,5.72,Metro,Bus
W_E00080,73,M1_BOUMEN,0.2267,2.72,3,5.72,Bus,Metro
W_E00081,M1_BOUMEN,75,0.9991,11.99,3,14.99,Metro,Bus
W_E00082,75,M1_BOUMEN,0.9991,11.99,3,14.99,Bus,Metro
W_E00083,M1_BOUMEN,79,0.4064,4.88,3,7.88,Metro,Bus
W_E00084,79,M1_BOUMEN,0.4064,4.88,3,7.88,Bus,Metro
W_E00085,M1_BOUMEN,80,0.4062,4.87,3,7.87,Metro,Bus
W_E00086,80,M1_BOUMEN,0.4062,4.87,3,7.87,Bus,Metro
W_E00087,M1_BOUMEN,276,0.5803,6.96,3,9.96,Metro,Bus
W_E00088,276,M1_BOUMEN,0.5803,6.96,3,9.96,Bus,Metro
W_E00089,M1_BOUMEN,277,0.5732,6.88,3,9.88,Metro,Bus
W_E00090,277,M1_BOUMEN,0.5732,6.88,3,9.88,Bus,Metro
W_E00091,M1_BOUMEN,278,0.5837,7.0,3,10.0,Metro,Bus
W_E00092,278,M1_BOUMEN,0.5837,7.0,3,10.0,Bus,Metro
W_E00093,M1_BOUMEN,279,0.6521,7.82,3,10.82,Metro,Bus
W_E00094,279,M1_BOUMEN,0.6521,7.82,3,10.82,Bus,Metro
W_E00095,M1_BOUMEN,280,0.6813,8.18,3,11.18,Metro,Bus
W_E00096,280,M1_BOUMEN,0.6813,8.18,3,11.18,Bus,Metro
W_E00097,M1_BOUMEN,281,0.7322,8.79,3,11.79,Metro,Bus
W_E00098,281,M1_BOUMEN,0.7322,8.79,3,11.79,Bus,Metro
W_E00099,M1_BOUMEN,282,0.7279,8.74,3,11.74,Metro,Bus
W_E00100,282,M1_BOUMEN,0.7279,8.74,3,11.74,Bus,Metro
W_E00101,M1_BOUMEN,283,0.5641,6.77,3,9.77,Metro,Bus
W_E00102,283,M1_BOUMEN,0.5641,6.77,3,9.77,Bus,Metro
W_E00103,M1_BOUMEN,284,0.579,6.95,3,9.95,Metro,Bus
W_E00104,284,M1_BOUMEN,0.579,6.95,3,9.95,Bus,Metro
W_E00105,M1_BOUMEN,285,0.6688,8.03,3,11.03,Metro,Bus
W_E00106,285,M1_BOUMEN,0.6688,8.03,3,11.03,Bus,Metro
W_E00107,M1_BOUMEN,286,0.8207,9.85,3,12.85,Metro,Bus
W_E00108,286,M1_BOUMEN,0.8207,9.85,3,12.85,Bus,Metro
W_E00109,M1_BOUMEN,287,0.8534,10.24,3,13.24,Metro,Bus
W_E00110,287,M1_BOUMEN,0.8534,10.24,3,13.24,Bus,Metro
W_E00111,M1_BOUMEN,465,0.9146,10.97,3,13.97,Metro,Bus
W_E00112,465,M1_BOUMEN,0.9146,10.97,3,13.97,Bus,Metro
W_E00113,M1_BOUMEN,466,0.9264,11.12,3,14.12,Metro,Bus
W_E00114,466,M1_BOUMEN,0.9264,11.12,3,14.12,Bus,Metro
W_E00115,M1_BOUMEN,473,0.8652,10.38,3,13.38,Metro,Bus
W_E00116,473,M1_BOUMEN,0.8652,10.38,3,13.38,Bus,Metro
W_E00117,M1_BOUMEN,TRN_ALGER,0.2921,3.5,3,6.5,Metro,Train
W_E00118,TRN_ALGER,M1_BOUMEN,0.2921,3.5,3,6.5,Train,Metro
W_E00119,M1_TAFOURAH,39,0.4981,5.98,3,8.98,Metro,Bus
W_E00120,39,M1_TAFOURAH,0.4981,5.98,3,8.98,Bus,Metro
W_E00121,M1_TAFOURAH,40,0.5006,6.01,3,9.01,Metro,Bus
W_E00122,40,M1_TAFOURAH,0.5006,6.01,3,9.01,Bus,Metro
W_E00123,M1_TAFOURAH,41,0.6699,8.04,3,11.04,Metro,Bus
W_E00124,41,M1_TAFOURAH,0.6699,8.04,3,11.04,Bus,Metro
W_E00125,M1_TAFOURAH,42,0.6821,8.18,3,11.18,Metro,Bus
W_E00126,42,M1_TAFOURAH,0.6821,8.18,3,11.18,Bus,Metro
W_E00127,M1_TAFOURAH,46,0.882,10.58,3,13.58,Metro,Bus
W_E00128,46,M1_TAFOURAH,0.882,10.58,3,13.58,Bus,Metro
W_E00129,M1_TAFOURAH,47,0.8881,10.66,3,13.66,Metro,Bus
W_E00130,47,M1_TAFOURAH,0.8881,10.66,3,13.66,Bus,Metro
W_E00131,M1_TAFOURAH,48,0.214,2.57,3,5.57,Metro,Bus
W_E00132,48,M1_TAFOURAH,0.214,2.57,3,5.57,Bus,Metro
W_E00133,M1_TAFOURAH,49,0.1197,1.44,3,4.44,Metro,Bus
W_E00134,49,M1_TAFOURAH,0.1197,1.44,3,4.44,Bus,Metro
W_E00135,M1_TAFOURAH,52,0.1559,1.87,3,4.87,Metro,Bus
W_E00136,52,M1_TAFOURAH,0.1559,1.87,3,4.87,Bus,Metro
W_E00137,M1_TAFOURAH,53,0.0971,1.16,3,4.16,Metro,Bus
W_E00138,53,M1_TAFOURAH,0.0971,1.16,3,4.16,Bus,Metro
W_E00139,M1_TAFOURAH,59,0.8611,10.33,3,13.33,Metro,Bus
W_E00140,59,M1_TAFOURAH,0.8611,10.33,3,13.33,Bus,Metro
W_E00141,M1_TAFOURAH,60,0.8512,10.21,3,13.21,Metro,Bus
W_E00142,60,M1_TAFOURAH,0.8512,10.21,3,13.21,Bus,Metro
W_E00143,M1_TAFOURAH,61,0.624,7.49,3,10.49,Metro,Bus
W_E00144,61,M1_TAFOURAH,0.624,7.49,3,10.49,Bus,Metro
W_E00145,M1_TAFOURAH,62,0.9299,11.16,3,14.16,Metro,Bus
W_E00146,62,M1_TAFOURAH,0.9299,11.16,3,14.16,Bus,Metro
